Entry_Name,Gene Ontology IDs
DPOE1_HUMAN,GO:0000082; GO:0000166; GO:0000278; GO:0000731; GO:0003677; GO:0003682; GO:0003887; GO:0005634; GO:0005654; GO:0005886; GO:0006260; GO:0006261; GO:0006272; GO:0006287; GO:0006297; GO:0008270; GO:0008310; GO:0008622; GO:0045004; GO:0048568; GO:0051539
DPOE1_HUMAN,GO:0000082; GO:0000166; GO:0000278; GO:0000731; GO:0003677; GO:0003682; GO:0003887; GO:0005634; GO:0005654; GO:0005886; GO:0006260; GO:0006261; GO:0006272; GO:0006287; GO:0006297; GO:0008270; GO:0008310; GO:0008622; GO:0045004; GO:0048568; GO:0051539
CUL2_HUMAN,GO:0000082; GO:0005654; GO:0005730; GO:0005829; GO:0016567; GO:0019005; GO:0030674; GO:0030891; GO:0031146; GO:0031461; GO:0031462; GO:0031625; GO:0044877; GO:0097193
CABL1_MOUSE,GO:0000082; GO:0005654; GO:0005829; GO:0007399; GO:0030426; GO:0051301; GO:0051726
CDK14_CALJA,GO:0000086; GO:0000308; GO:0004693; GO:0005524; GO:0005634; GO:0005886; GO:0006468; GO:0016055; GO:0051301; GO:0060828; GO:0106310
FOSL_DROGR,GO:0000086; GO:0000978; GO:0001228; GO:0003677; GO:0005634; GO:0005737; GO:0007297; GO:0007391; GO:0007464; GO:0009792; GO:0016330; GO:0035220; GO:0035976; GO:0042060; GO:0045475; GO:0046529; GO:0046982; GO:0048674; GO:0048813; GO:0051124; GO:0061057; GO:0140297; GO:1903688
SDHA_DANRE,GO:0000104; GO:0005749; GO:0006099; GO:0006121; GO:0008177; GO:0009055; GO:0050660
CBX8_MOUSE,GO:0000122; GO:0000151; GO:0000785; GO:0000792; GO:0003682; GO:0003727; GO:0005634; GO:0005654; GO:0008284; GO:0016574; GO:0031507; GO:0031519; GO:0032967; GO:0035064; GO:0035102; GO:0045739; GO:0097027
NF2L1_MOUSE,GO:0000122; GO:0000209; GO:0000978; GO:0000981; GO:0001227; GO:0001228; GO:0003682; GO:0005634; GO:0005654; GO:0005783; GO:0005789; GO:0005829; GO:0006002; GO:0006357; GO:0006749; GO:0007088; GO:0008203; GO:0010468; GO:0010906; GO:0015485; GO:0019216; GO:0019217; GO:0019725; GO:0019904; GO:0021522; GO:0021781; GO:0030176; GO:0030218; GO:0032991; GO:0034599; GO:0034976; GO:0036003; GO:0042632; GO:0042802; GO:0042883; GO:0044877; GO:0045454; GO:0045944; GO:0046982; GO:0050727; GO:0051156; GO:0055088; GO:0061136; GO:0070417; GO:0071280; GO:0071397; GO:0090575; GO:0097201; GO:1901329; GO:1903353; GO:1905897; GO:1990841
STRAP_CHICK,GO:0000122; GO:0000380; GO:0000387; GO:0003729; GO:0005102; GO:0005634; GO:0005829; GO:0030182; GO:0030277; GO:0030512; GO:0032797; GO:0034719; GO:1990447
RUNX1_RAT,GO:0000122; GO:0000785; GO:0000976; GO:0000977; GO:0000978; GO:0000981; GO:0001222; GO:0001228; GO:0001501; GO:0001503; GO:0001701; GO:0001889; GO:0002062; GO:0002318; GO:0002573; GO:0002667; GO:0003677; GO:0003700; GO:0005524; GO:0005604; GO:0005634; GO:0006355; GO:0006357; GO:0007417; GO:0008285; GO:0009966; GO:0014894; GO:0016513; GO:0030097; GO:0030099; GO:0030182; GO:0030728; GO:0030854; GO:0031069; GO:0032526; GO:0032729; GO:0032743; GO:0035162; GO:0043371; GO:0043378; GO:0045595; GO:0045766; GO:0045892; GO:0045893; GO:0045944; GO:0048266; GO:0048663; GO:0048666; GO:0060216; GO:0071336; GO:0071560; GO:0140297; GO:1903431; GO:1990837; GO:1990841; GO:2000872
RUNX1_RAT,GO:0000122; GO:0000785; GO:0000976; GO:0000977; GO:0000978; GO:0000981; GO:0001222; GO:0001228; GO:0001501; GO:0001503; GO:0001701; GO:0001889; GO:0002062; GO:0002318; GO:0002573; GO:0002667; GO:0003677; GO:0003700; GO:0005524; GO:0005604; GO:0005634; GO:0006355; GO:0006357; GO:0007417; GO:0008285; GO:0009966; GO:0014894; GO:0016513; GO:0030097; GO:0030099; GO:0030182; GO:0030728; GO:0030854; GO:0031069; GO:0032526; GO:0032729; GO:0032743; GO:0035162; GO:0043371; GO:0043378; GO:0045595; GO:0045766; GO:0045892; GO:0045893; GO:0045944; GO:0048266; GO:0048663; GO:0048666; GO:0060216; GO:0071336; GO:0071560; GO:0140297; GO:1903431; GO:1990837; GO:1990841; GO:2000872
DRI_DROME,GO:0000122; GO:0000976; GO:0003677; GO:0005634; GO:0006357; GO:0007411; GO:0007431; GO:0007517; GO:0008049; GO:0009880; GO:0009952; GO:0042063; GO:0045893; GO:0045924; GO:0048477; GO:0048813; GO:0140297
DFD_DROME,GO:0000122; GO:0000977; GO:0000978; GO:0000981; GO:0003677; GO:0005634; GO:0006357; GO:0007380; GO:0009952; GO:0010468; GO:0035289; GO:0043025; GO:0043565; GO:0045944; GO:0060322; GO:0060323; GO:0140297; GO:1902339; GO:1990403
HR96_DROME,GO:0000122; GO:0000977; GO:0000978; GO:0004879; GO:0005634; GO:0006357; GO:0008270; GO:0030154; GO:0042594; GO:0042632; GO:0045944; GO:0070328; GO:0070873
HR96_DROME,GO:0000122; GO:0000977; GO:0000978; GO:0004879; GO:0005634; GO:0006357; GO:0008270; GO:0030154; GO:0042594; GO:0042632; GO:0045944; GO:0070328; GO:0070873
BARH1_DROME,GO:0000122; GO:0000977; GO:0000981; GO:0001751; GO:0005634; GO:0006357; GO:0007455; GO:0007479; GO:0007601; GO:0008052; GO:0008057; GO:0008407; GO:0045892; GO:0050896
CIC_MOUSE,GO:0000122; GO:0000977; GO:0000981; GO:0003682; GO:0005634; GO:0005654; GO:0006357; GO:0006366; GO:0007420; GO:0007612; GO:0007613; GO:0032991; GO:0035176; GO:0043231; GO:0045892; GO:0048286
TGIF1_MOUSE,GO:0000122; GO:0000978; GO:0000981; GO:0001227; GO:0001843; GO:0003682; GO:0005634; GO:0005654; GO:0006357; GO:0007368; GO:0008283; GO:0008285; GO:0008432; GO:0009953; GO:0010470; GO:0010629; GO:0030182; GO:0035881; GO:0038092; GO:0048144; GO:0048146; GO:0048387; GO:0060041; GO:0070410; GO:1902871; GO:1990837
NR2E3_BOVIN,GO:0000122; GO:0000978; GO:0004879; GO:0005634; GO:0006357; GO:0008270; GO:0030154; GO:0045944; GO:0048856
NR2E3_BOVIN,GO:0000122; GO:0000978; GO:0004879; GO:0005634; GO:0006357; GO:0008270; GO:0030154; GO:0045944; GO:0048856
TIPT_DROME,GO:0000122; GO:0000981; GO:0003677; GO:0005634; GO:0006357; GO:0007380; GO:0046872; GO:0048730; GO:0048749; GO:0061330
UBC9_CHICK,GO:0000122; GO:0001221; GO:0005524; GO:0005634; GO:0005737; GO:0007049; GO:0007059; GO:0008134; GO:0016605; GO:0016925; GO:0043123; GO:0043398; GO:0044388; GO:0051301; GO:0061656; GO:0071535; GO:0106068; GO:1903755; GO:1990356
FHL2_BOVIN,GO:0000122; GO:0001649; GO:0003712; GO:0003714; GO:0005634; GO:0008134; GO:0009725; GO:0030018; GO:0042802; GO:0043066; GO:0043425; GO:0046872; GO:0055014; GO:0055015; GO:0060347; GO:0070885
SDS3_MOUSE,GO:0000122; GO:0001835; GO:0004407; GO:0005634; GO:0005829; GO:0006325; GO:0006915; GO:0016575; GO:0016580; GO:0016604; GO:0019899; GO:0030336; GO:0030512; GO:0042802; GO:0042826; GO:0043065; GO:0045892; GO:0070822; GO:1902455; GO:1902459
SDCB1_RAT,GO:0000122; GO:0002091; GO:0005109; GO:0005137; GO:0005546; GO:0005654; GO:0005737; GO:0005789; GO:0005829; GO:0005856; GO:0005886; GO:0005895; GO:0005912; GO:0005925; GO:0007265; GO:0007268; GO:0007346; GO:0008022; GO:0008284; GO:0010718; GO:0010862; GO:0019838; GO:0030036; GO:0030307; GO:0030335; GO:0030511; GO:0031965; GO:0032435; GO:0042043; GO:0042327; GO:0042470; GO:0042802; GO:0044877; GO:0045121; GO:0045202; GO:0045545; GO:0046875; GO:0046982; GO:0047485; GO:0050839; GO:0070062; GO:0099054; GO:1903543; GO:1903553
PRD13_HUMAN,GO:0000122; GO:0003677; GO:0003682; GO:0005634; GO:0010468; GO:0022008; GO:0042054; GO:0046872; GO:0061629
ZN608_MOUSE,GO:0000122; GO:0005634; GO:0006357; GO:0033085; GO:0046872
TAF9B_RAT,GO:0000122; GO:0005669; GO:0006352; GO:0006366; GO:0012501; GO:0014070; GO:0030307; GO:0033276; GO:0043066; GO:0046982; GO:0050821
DNAJ1_DROME,GO:0000122; GO:0005829; GO:0006457; GO:0008134; GO:0009408; GO:0042691; GO:0050821; GO:0051082; GO:0051085; GO:0051087
TRX_DROME,GO:0000123; GO:0001654; GO:0003682; GO:0003700; GO:0005634; GO:0005700; GO:0005704; GO:0006325; GO:0007482; GO:0007507; GO:0008023; GO:0008157; GO:0008270; GO:0008354; GO:0016571; GO:0016573; GO:0032968; GO:0035097; GO:0042800; GO:0042802; GO:0042803; GO:0043565; GO:0043966; GO:0044665; GO:0045893; GO:0045944; GO:0051568; GO:0106363
INSC_MOUSE,GO:0000132; GO:0005886; GO:0005938; GO:0007399; GO:0008093; GO:0008356; GO:0009786; GO:0019904; GO:0030154; GO:0030674; GO:0031647; GO:0032991; GO:0045176; GO:0045179
CHST5_MOUSE,GO:0000139; GO:0001517; GO:0005794; GO:0005802; GO:0005975; GO:0006044; GO:0006790; GO:0016021; GO:0018146; GO:0045130
SCRB2_HUMAN,GO:0000139; GO:0001618; GO:0001786; GO:0004888; GO:0005044; GO:0005737; GO:0005765; GO:0005789; GO:0005886; GO:0005925; GO:0006622; GO:0006898; GO:0007605; GO:0010008; GO:0010467; GO:0010976; GO:0015485; GO:0015917; GO:0016020; GO:0016021; GO:0019899; GO:0030666; GO:0030669; GO:0031210; GO:0031902; GO:0038024; GO:0042803; GO:0043202; GO:0043471; GO:0051087; GO:0070062; GO:1904978; GO:1905123; GO:1905671
MGAT1_RABIT,GO:0000139; GO:0001701; GO:0003827; GO:0005797; GO:0006013; GO:0006049; GO:0006487; GO:0016021; GO:0016262; GO:0018279; GO:0030145; GO:0048471
BRN_DROME,GO:0000139; GO:0001744; GO:0005795; GO:0006486; GO:0006688; GO:0007219; GO:0007293; GO:0007298; GO:0007299; GO:0008194; GO:0016021; GO:0016333; GO:0016757; GO:0030707; GO:0042248; GO:0046981; GO:0047915
RAB6_DROME,GO:0000139; GO:0001745; GO:0001881; GO:0003779; GO:0003924; GO:0005525; GO:0005764; GO:0005776; GO:0005794; GO:0005829; GO:0006886; GO:0006887; GO:0006890; GO:0006891; GO:0007293; GO:0007411; GO:0007602; GO:0008103; GO:0016192; GO:0031410; GO:0032482; GO:0042147; GO:0043025; GO:0043204; GO:0045202; GO:0045451; GO:0045467; GO:0050832; GO:0060078; GO:0070161; GO:0140450
PSD_DROME,GO:0000139; GO:0001745; GO:0005085; GO:0005543; GO:0005886; GO:0005938; GO:0008017; GO:0030424; GO:0031115; GO:0032014; GO:0035082; GO:0044297; GO:0097305
MY18A_HUMAN,GO:0000139; GO:0003677; GO:0003723; GO:0005524; GO:0005793; GO:0005802; GO:0006259; GO:0007030; GO:0008094; GO:0009986; GO:0016020; GO:0016460; GO:0016477; GO:0031032; GO:0032982; GO:0042641; GO:0043030; GO:0043066; GO:0043531; GO:0048194; GO:0050714; GO:0051015; GO:0090161; GO:0090164; GO:1903028
MY18A_HUMAN,GO:0000139; GO:0003677; GO:0003723; GO:0005524; GO:0005793; GO:0005802; GO:0006259; GO:0007030; GO:0008094; GO:0009986; GO:0016020; GO:0016460; GO:0016477; GO:0031032; GO:0032982; GO:0042641; GO:0043030; GO:0043066; GO:0043531; GO:0048194; GO:0050714; GO:0051015; GO:0090161; GO:0090164; GO:1903028
NAA60_DROME,GO:0000139; GO:0004402; GO:0004596; GO:0005737; GO:0006325; GO:0007059; GO:0010485; GO:0016573; GO:0017196; GO:0043966; GO:0043967
GALT2_DROME,GO:0000139; GO:0004653; GO:0005794; GO:0005795; GO:0006493; GO:0009312; GO:0016021; GO:0018243; GO:0030246; GO:0046872
LMTK3_HUMAN,GO:0000139; GO:0004672; GO:0004674; GO:0005524; GO:0006468; GO:0016021; GO:0030424; GO:0030425; GO:0046872; GO:0106310
RPGP1_MOUSE,GO:0000139; GO:0005096; GO:0005737; GO:0005769; GO:0005829; GO:0006909; GO:0016020; GO:0022409; GO:0030424; GO:0030425; GO:0031267; GO:0042803; GO:0043025; GO:0043087; GO:0043547; GO:0045665; GO:0050766; GO:0051056; GO:0051649; GO:0090630; GO:0098609; GO:1903697; GO:1904425; GO:1904442; GO:1990792
COPG2_TAKRU,GO:0000139; GO:0005198; GO:0006886; GO:0016192; GO:0030126
ABCA5_HUMAN,GO:0000139; GO:0005319; GO:0005524; GO:0005764; GO:0005765; GO:0005770; GO:0005794; GO:0005886; GO:0006869; GO:0008203; GO:0010745; GO:0010874; GO:0016021; GO:0031902; GO:0033344; GO:0034375; GO:0042626; GO:0042632; GO:0043231; GO:0043691; GO:0140359; GO:1903064
ABCG1_HUMAN,GO:0000139; GO:0005524; GO:0005543; GO:0005739; GO:0005768; GO:0005789; GO:0005794; GO:0005886; GO:0008203; GO:0009897; GO:0010033; GO:0010745; GO:0010875; GO:0010887; GO:0015485; GO:0016020; GO:0016021; GO:0019534; GO:0032367; GO:0033344; GO:0033700; GO:0033993; GO:0034041; GO:0034374; GO:0034375; GO:0034436; GO:0042626; GO:0042632; GO:0042803; GO:0042987; GO:0043531; GO:0043691; GO:0045542; GO:0046982; GO:0050714; GO:0055037; GO:0055085; GO:0055091; GO:0071403; GO:0090181; GO:0090554; GO:0120020; GO:0140328; GO:1902004
LMAN2_CANLF,GO:0000139; GO:0005537; GO:0005615; GO:0005789; GO:0005793; GO:0005794; GO:0005887; GO:0006888; GO:0006890; GO:0007029; GO:0007030; GO:0009986; GO:0015031; GO:0030134; GO:0030137; GO:0031072; GO:0031410; GO:0046872; GO:0048471; GO:0050766; GO:0070382
EXT1_DROME,GO:0000139; GO:0005783; GO:0005789; GO:0005794; GO:0006024; GO:0006044; GO:0006486; GO:0007411; GO:0008354; GO:0008375; GO:0008589; GO:0015012; GO:0015014; GO:0015020; GO:0016021; GO:0016055; GO:0016757; GO:0030210; GO:0030513; GO:0045880; GO:0046872; GO:0050508; GO:0050509; GO:0090263
EXT1_DROME,GO:0000139; GO:0005783; GO:0005789; GO:0005794; GO:0006024; GO:0006044; GO:0006486; GO:0007411; GO:0008354; GO:0008375; GO:0008589; GO:0015012; GO:0015014; GO:0015020; GO:0016021; GO:0016055; GO:0016757; GO:0030210; GO:0030513; GO:0045880; GO:0046872; GO:0050508; GO:0050509; GO:0090263
ZDHC3_RAT,GO:0000139; GO:0005783; GO:0005794; GO:0006605; GO:0006612; GO:0008277; GO:0016021; GO:0016409; GO:0018230; GO:0018345; GO:0019705; GO:0019706; GO:0032230; GO:0036462; GO:0042803; GO:0044873; GO:0072659; GO:0140439; GO:1902685; GO:1903546
PGAP2_CRIGR,GO:0000139; GO:0005789; GO:0006506; GO:0016021
HIP14_DROME,GO:0000139; GO:0005794; GO:0007268; GO:0007283; GO:0008021; GO:0016021; GO:0016079; GO:0016409; GO:0018345; GO:0019706; GO:0042734; GO:0042995; GO:0045202; GO:0050714; GO:0070161
RXLT1_DANRE,GO:0000139; GO:0005794; GO:0016021; GO:0035269; GO:0120053
COG3_AEDAE,GO:0000139; GO:0005801; GO:0006886; GO:0006888; GO:0006891; GO:0017119
EXOC4_DROME,GO:0000145; GO:0000212; GO:0000916; GO:0005737; GO:0005886; GO:0006887; GO:0006893; GO:0007009; GO:0007110; GO:0007111; GO:0007268; GO:0007269; GO:0007286; GO:0007298; GO:0009925; GO:0015031; GO:0016020; GO:0016028; GO:0016080; GO:0016081; GO:0016192; GO:0016324; GO:0032584; GO:0045202; GO:0045887; GO:0046718; GO:0050803; GO:0090522; GO:0098793
MYO7A_DROME,GO:0000146; GO:0005524; GO:0005737; GO:0005829; GO:0005902; GO:0005938; GO:0007015; GO:0007423; GO:0007469; GO:0007605; GO:0008407; GO:0008586; GO:0030048; GO:0030050; GO:0031477; GO:0032027; GO:0032529; GO:0035182; GO:0035293; GO:0035317; GO:0045179; GO:0045180; GO:0045296; GO:0046847; GO:0048800; GO:0051015; GO:0060002; GO:0070825
STX1A_DROME,GO:0000149; GO:0000281; GO:0005484; GO:0005765; GO:0005886; GO:0006886; GO:0006887; GO:0006906; GO:0007269; GO:0007274; GO:0007317; GO:0007349; GO:0007482; GO:0008021; GO:0012505; GO:0016021; GO:0016081; GO:0016192; GO:0017157; GO:0030672; GO:0031201; GO:0031629; GO:0043195; GO:0048278; GO:0048787; GO:0070161
SNP25_DROME,GO:0000149; GO:0005484; GO:0005737; GO:0005886; GO:0006887; GO:0006906; GO:0007269; GO:0007274; GO:0016020; GO:0016081; GO:0016082; GO:0016192; GO:0019905; GO:0031201; GO:0031629; GO:0043195; GO:0048172; GO:0048489; GO:0070161
SNP25_DROME,GO:0000149; GO:0005484; GO:0005737; GO:0005886; GO:0006887; GO:0006906; GO:0007269; GO:0007274; GO:0016020; GO:0016081; GO:0016082; GO:0016192; GO:0019905; GO:0031201; GO:0031629; GO:0043195; GO:0048172; GO:0048489; GO:0070161
SNAPN_DROME,GO:0000149; GO:0006886; GO:0007040; GO:0007269; GO:0008021; GO:0008333; GO:0016020; GO:0016079; GO:0016082; GO:0031083; GO:0032418; GO:0042592; GO:0061909; GO:0099078; GO:2000300
FBX11_RAT,GO:0000151; GO:0004842; GO:0005634; GO:0005654; GO:0005694; GO:0005730; GO:0005737; GO:0006511; GO:0007605; GO:0008270; GO:0016274; GO:0016567; GO:0042981
PTPA_BOVIN,GO:0000159; GO:0003755; GO:0004721; GO:0005102; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0007052; GO:0008160; GO:0032515; GO:0032516; GO:0034704; GO:0042803; GO:0043065; GO:0051721; GO:1904949
PP12_SCHPO,GO:0000164; GO:0000785; GO:0004722; GO:0005634; GO:0005730; GO:0005737; GO:0007049; GO:0007059; GO:0007346; GO:0017018; GO:0046872; GO:0051301; GO:0072357; GO:2000784
SETX_HUMAN,GO:0000165; GO:0000228; GO:0000781; GO:0001147; GO:0003677; GO:0003678; GO:0003723; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006302; GO:0006310; GO:0006353; GO:0006369; GO:0006376; GO:0006396; GO:0006974; GO:0007283; GO:0007399; GO:0007623; GO:0008543; GO:0010976; GO:0016604; GO:0016787; GO:0030154; GO:0030424; GO:0030426; GO:0033120; GO:0034599; GO:0042802; GO:0043066; GO:0043491; GO:0044344; GO:0045171; GO:0045944; GO:0060566; GO:0070301; GO:0071300; GO:2000144; GO:2000806
MP2K4_HUMAN,GO:0000165; GO:0001934; GO:0004672; GO:0004674; GO:0004708; GO:0004713; GO:0005524; GO:0005634; GO:0005829; GO:0006915; GO:0007165; GO:0007254; GO:0008545; GO:0009611; GO:0030424; GO:0032839; GO:0034393; GO:0038095; GO:0043204; GO:0043525; GO:0045740; GO:0046330; GO:0051770; GO:0061049; GO:0071260; GO:0072709; GO:0090398; GO:0106310; GO:2000672
DPOE1_DROME,GO:0000166; GO:0000278; GO:0003677; GO:0003887; GO:0005634; GO:0006261; GO:0006272; GO:0006281; GO:0006287; GO:0006297; GO:0007113; GO:0008270; GO:0008296; GO:0008310; GO:0008622; GO:0045004; GO:0051539; GO:0090592
DPOE1_DROME,GO:0000166; GO:0000278; GO:0003677; GO:0003887; GO:0005634; GO:0006261; GO:0006272; GO:0006281; GO:0006287; GO:0006297; GO:0007113; GO:0008270; GO:0008296; GO:0008310; GO:0008622; GO:0045004; GO:0051539; GO:0090592
NUD16_HOMVI,GO:0000166; GO:0003723; GO:0005654; GO:0005730; GO:0005737; GO:0009117; GO:0046872; GO:0097383; GO:1990003
S22A4_HUMAN,GO:0000166; GO:0005524; GO:0005739; GO:0005886; GO:0005887; GO:0006641; GO:0006814; GO:0007589; GO:0008513; GO:0009437; GO:0015171; GO:0015226; GO:0015293; GO:0015491; GO:0015651; GO:0015695; GO:0015697; GO:0015879; GO:0016324; GO:0030165; GO:0042908; GO:0089718
RMI1_XENLA,GO:0000166; GO:0005634; GO:0006260
EXOS7_HUMAN,GO:0000175; GO:0000176; GO:0000177; GO:0000178; GO:0000467; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0006364; GO:0006396; GO:0006401; GO:0016075; GO:0034427; GO:0034473; GO:0034475; GO:0034476; GO:0043928; GO:0071028; GO:0071035; GO:0071038; GO:0071042; GO:0101019
PDE12_HUMAN,GO:0000175; GO:0000288; GO:0000958; GO:0004527; GO:0004535; GO:0005739; GO:0005759; GO:0005829; GO:0006397; GO:0034611; GO:0035457; GO:0044528; GO:0045070; GO:0046872; GO:0051607; GO:0060548; GO:0071346; GO:0071359; GO:0090305; GO:0090324; GO:0090503
PDE12_MOUSE,GO:0000175; GO:0000288; GO:0000958; GO:0004527; GO:0004535; GO:0005739; GO:0005759; GO:0006397; GO:0035457; GO:0044528; GO:0045070; GO:0046872; GO:0060548; GO:0071346; GO:0071359; GO:0090305; GO:0090324; GO:0090503
PNPT1_HUMAN,GO:0000175; GO:0000957; GO:0000958; GO:0000962; GO:0000964; GO:0000965; GO:0003723; GO:0004654; GO:0005634; GO:0005737; GO:0005739; GO:0005758; GO:0005759; GO:0005789; GO:0005829; GO:0006401; GO:0006402; GO:0008266; GO:0034046; GO:0034599; GO:0035198; GO:0035458; GO:0035927; GO:0035928; GO:0042788; GO:0043457; GO:0043631; GO:0045025; GO:0045926; GO:0051260; GO:0051591; GO:0051726; GO:0060416; GO:0061014; GO:0070207; GO:0070584; GO:0071042; GO:0097222; GO:0097421; GO:2000627; GO:2000772
PNPT1_PONAB,GO:0000175; GO:0000957; GO:0000958; GO:0000962; GO:0000964; GO:0000965; GO:0004654; GO:0005739; GO:0005758; GO:0005759; GO:0006401; GO:0006402; GO:0008266; GO:0016020; GO:0034046; GO:0034599; GO:0035198; GO:0035927; GO:0035928; GO:0043457; GO:0043631; GO:0045025; GO:0045926; GO:0051260; GO:0051726; GO:0061014; GO:0070207; GO:0070584; GO:0071042; GO:0097222; GO:2000627; GO:2000772
TFB1M_RAT,GO:0000179; GO:0003677; GO:0003723; GO:0005759; GO:0006391; GO:0031167; GO:0034246; GO:0042645
